business_id,name,neighborhood,categories,GoodForMeal
x7kEMeQ25jBQtm_ID-BPBA,Snack Nook,The Strip,"Restaurants, Fast Food","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
yZnEwqTGpkrj_mga5zeZmQ,Little Richies Chicago Style Beef and Dogs at Treasure Island,The Strip,"Delis, Sandwiches, Hot Dogs, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
Akl6WDSUwYQ3zanxczLNSg,Rice & Company,The Strip,"Asian Fusion, Food, Chinese, Restaurants, Bars, Beer, Wine & Spirits, Pan Asian, Nightlife","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
Trbt0Ex85yvwT8DHoEFCvg,Ocean One Bar and Grille,The Strip,"Nightlife, American (New), Bars, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': False}"
RO1h2JPbvp0QeqSHDJbeKw,Anchor Bar,The Strip,"Chicken Wings, Restaurants","{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
EaYGALPvXkv1_Kk5ZLpTgg,Mustard Cafe,The Strip,"Coffee & Tea, Bagels, Restaurants, Food, Cafes",
2O_b-IAAW7SoPt__RX1Kww,Buca di Beppo,The Strip,"Italian, Restaurants, Pizza","{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': False}"
#NAME?,Herringbone,The Strip,"Restaurants, Seafood, American (New)","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': True}"
CftugKq9LBGGbYbzGWN5Qg,Hummus Vegas & Grill,The Strip,"Falafel, Middle Eastern, Mediterranean, Kosher, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
mlNHAQR3UhowDDYdJF5w9w,Rosewood Grille,The Strip,"Seafood, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
noZNxJF_q9V3Iox5qG2bVA,Breakfast & Burgers,The Strip,"Breakfast & Brunch, Restaurants, Burgers","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
7wMCJ9NqL9eBEX4WdJWuIA,Outback Steakhouse,The Strip,"Steakhouses, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
Gk_KLfwb0GMgKDrP8_0kqg,People's Republic,The Strip,"Bars, Food, American (New), Restaurants, American (Traditional), Sports Bars, Beer, Wine & Spirits, Nightlife","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
M5Ft2YKkh9fFjyUNmAeRGA,Meskerem Ethiopian Restaurant & Market,The Strip,"Ethiopian, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
duw-3Aj7gAKbQG-isS5UtQ,Veranda,The Strip,"Breakfast & Brunch, Coffee & Tea, Food, Bars, Italian, Nightlife, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': True}"
8oSNaQnLGfbFC0uyRUjfCA,The Mad Greek Cafe,The Strip,"Restaurants, Mediterranean, Greek","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
Sy36Js6xGWQqpi9K6nlYgg,Hamada of Japan,The Strip,"Sushi Bars, Restaurants, Japanese","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
wyPkRQg3F5Yz2WqRFax7-g,Munchbar,The Strip,"American (Traditional), Restaurants","{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
G58YATMKnn-M-RUDWg3lxw,THEcafe at THEhotel,The Strip,"Restaurants, American (New)","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"
T8Z5LpR4gJXexRk-33P4LQ,Big Hurt's Snack Shack,The Strip,"Burgers, Food, Restaurants, Hot Dogs",
0IjBFHFm8M-VPyym-Xrkhw,Tower Pizzeria,The Strip,"Restaurants, Pizza","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
CCVh8YKdN3c-WgqEbzya3A,Market Cafe Vdara,The Strip,"Food, Restaurants, Cafes, Juice Bars & Smoothies, Breakfast & Brunch","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"
MbhIK-51P6TmHWLLa-n4Sg,Steakhouse 46,The Strip,"Steakhouses, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
Q-cV5tDErkUbUefrzDa7Aw,Asian Fresh,The Strip,"Asian Fusion, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
0QHMAUi6NdOUZ1ckXq0-sA,Rainforest Café,The Strip,"Restaurants, American (Traditional)","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
liGn7sPOvUuy3kcwbhRkbA,Zine Noodles Dim Sum,The Strip,"Dim Sum, Chinese, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
PBYDlb88SAWHiQgqJJ67hQ,Rattlecan,The Strip,"Restaurants, Burgers","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
LV-oONzEA22qiBEFK1sckA,American Fish,The Strip,"Restaurants, American (New), Seafood","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
E7VRsyNQWPteH6_qI4j7bw,Thai Pepper,The Strip,"Thai, Asian Fusion, Vegetarian, Restaurants","{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
db04aHdl79B5OUo_tknYZw,Cheeseburger,The Strip,"Burgers, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
VbEK6-etnKKaPamrG2jWjQ,Haute Doggery,The Strip,"American (Traditional), Restaurants, Hot Dogs","{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
Mn6PbumS7GL2v3jPilTaeg,Tamba,The Strip,"Indian, Bars, Halal, Pakistani, Restaurants, Gluten-Free, Nightlife","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
fJVrLAFaqcvzt1QAw12Uxw,FAME,The Strip,"Chinese, Asian Fusion, Street Vendors, Korean, Food, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
yi9725wjRYYEoF-xE47_ig,El Nopal,The Strip,"Restaurants, American (Traditional), Breakfast & Brunch, Mexican","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': True}"
q6LaVR4FlIyRC9yWIW5IXg,Towers Deli,The Strip,"Delis, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
Mufm5Fot_GS2wNx2TpLfcg,Mexitalia X-Press,The Strip,"Restaurants, Mexican","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
3X-SMnyYq77IYEnyCp-TtQ,Tropical Breeze Cafe,The Strip,"American (Traditional), Restaurants, Pizza, Diners","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"
9Jc3W0aR9Xf2gcHI0rEXsw,The Garden Grill,The Strip,"Restaurants, Steakhouses, American (Traditional), Pub Food, Mexican, Fast Food","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
fq6qlXprwSzSUr0RKE_0rA,Taco Maker,The Strip,"Mexican, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
X1Y2II3AYdoxa70nTTfUPQ,Fresh Grill & Bar,The Strip,"Sandwiches, American (Traditional), Caterers, Event Planning & Services, Burgers, Restaurants, American (New)","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
w8RWhhuKxMiFCpvFvIQ3zg,Max Brenner,The Strip,"Desserts, Specialty Food, Chocolatiers & Shops, Coffee & Tea, American (New), Breakfast & Brunch, Food, Restaurants",
fdC-5VI6ifj6CR2LjKWRtQ,Elation Pool,The Strip,"Active Life, Bars, Beer, Wine & Spirits, Swimming Pools, Food, Specialty Food, Restaurants, Nightlife",
zQmHSe6IOiSNF84m9BVZ8A,The Still,The Strip,"Bars, Nightlife, Sports Bars, Diners, Restaurants, American (Traditional)","{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
tHwNWbjsgIedLw0FLmBHyg,Pizzeria,The Strip,"Fast Food, Pizza, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
SU56w479vUfFHsvmvQIf7A,India Oven,The Strip,"Pakistani, Restaurants, Indian","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
kYtk8YSBtSuwXcvfoRMyoA,Little Caesar's Pizza,The Strip,"Restaurants, Pizza",
yKPY_6w7HNb0QhA3DcxvPw,Samba,The Strip,"Brazilian, Restaurants, Beer, Wine & Spirits, Steakhouses, Food","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
CIu7ybFJhERiWzugrkPb8g,The Grill At Valentino,The Strip,"Italian, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
n_o2DAmDBAZ-RjVDSY-5uQ,Ruth's Chris Steak House,The Strip,"Restaurants, Seafood, Steakhouses","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
L2W0QLXIIR5MEmhQwZk-iA,Hot N Juicy Crawfish,The Strip,"Seafood, Cajun/Creole, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
JrohSmutzhdJ5QGRMtaojg,Subway,The Strip,"Sandwiches, Restaurants, Fast Food","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
uuGlYAIvYAX1q1KhpY6dtA,Brand Steakhouse,The Strip,"American (Traditional), Bars, Nightlife, Steakhouses, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
bSY97kgQpJ5BrpgW40V1qg,THE Steak House,The Strip,"Steakhouses, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
ku6NGJSMJ5RwKnHrzVBQcA,Red Label Bar & Lounge,The Strip,"Lounges, Nightlife, Restaurants, Asian Fusion, Bars, American (Traditional)","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
7EZ4Eu7YJ1ltRCC5jXFJrQ,The Buffet At TI,The Strip,"American (Traditional), Asian Fusion, Sushi Bars, Breakfast & Brunch, Restaurants, Buffets","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
NmOBomyz63TP9Nn2q4Z1rg,Smith & Wollensky,The Strip,"Restaurants, Seafood, Steakhouses","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
HnbkGxUs7oWKYDeB-Pk82Q,Espressamente illy,The Strip,"Food, Cafes, Italian, Desserts, Restaurants, Coffee & Tea","{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"
FfHpj1QcW510pA3CS354xw,The Coffee Shop,The Strip,"Casinos, Comfort Food, Hotels & Travel, Event Planning & Services, Food, Beauty & Spas, Breakfast & Brunch, Coffee & Tea, Day Spas, Arts & Entertainment, Hotels, American (Traditional), Restaurants","{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': False}"
#NAME?,The Cheesecake Factory,The Strip,"Restaurants, American (Traditional), American (New), Food, Seafood, Desserts","{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
OETh78qcgDltvHULowwhJg,Gordon Ramsay Steak,The Strip,"Soup, American (New), Steakhouses, Salad, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
fAo-3jt3oD69nwnr5M6FLQ,Wing Lei,The Strip,"Chinese, Restaurants, Seafood","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
FgPANtTwZqXB-edLkZTXQg,Del Taco,The Strip,"Restaurants, Fast Food, Mexican","{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
l4E8kiB13FWV1p_rGYJLig,Bao Now,The Strip,"Chinese, Restaurants, Coffee & Tea, Food, Dim Sum","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': False}"
60k9jrzsQ-uO8dlQuUIjQg,Burger King,The Strip,"Fast Food, Burgers, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
Ae91-YlrGnHKq7KXD1WDxw,ABX American Burger Works,The Strip,"Burgers, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
kICgNgVRkIh4doz0atyMMA,Hakkasan Restaurant,The Strip,"Bars, American (Traditional), Cantonese, Restaurants, Nightlife, Dance Clubs, Dim Sum, Chinese, Lounges, American (New)","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
#NAME?,Blizz,The Strip,"Ice Cream & Frozen Yogurt, Desserts, Food, Restaurants",
Lau3N654yNyWdIIybea1uA,Il Fornaio,The Strip,"Italian, Seafood, Pizza, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
V9eIbZwaOJ7YeMy5bPVm6w,McDonald's - MGM Grand The District Food Court,The Strip,"Fast Food, Burgers, Restaurants, Food","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"
qi7PnlfceCl3otbEUWz75w,LA Subs & Salads,The Strip,"Salad, Restaurants, Sandwiches","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
zq34Nb2zekXVI0G5Ip-Y4w,Greek Island Cafe,The Strip,"Restaurants, Greek","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
WK542yG4t2PUvaBOkjcwNA,Lucky's Cafe,The Strip,"Restaurants, Diners","{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
68jn0s0snbO5dhasLaVvDw,Flock & Fowl,The Strip,"Singaporean, Chinese, Chicken Shop, Restaurants, Asian Fusion","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
78TC3sZSYBzBsSJ0z5pyhw,Le Provencal,The Strip,"Italian, French, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
